,Date,HourOfDay,kWh,Percent
219,09/23/2013,20,133.5,0.0228125
220,01/14/2014,18,133.4,0.022916666666666665
221,10/05/2013,21,133.4,0.023020833333333334
222,04/07/2013,20,133.39999999999998,0.023125
223,09/25/2013,20,133.3,0.023229166666666665
224,09/27/2013,20,133.0,0.023333333333333334
225,10/02/2013,21,132.9,0.0234375
226,09/28/2013,21,132.8,0.023541666666666666
227,04/30/2013,20,132.6,0.023645833333333335
228,09/25/2013,21,132.5,0.02375
229,09/29/2013,21,132.4,0.023854166666666666
230,10/25/2013,21,132.1,0.023958333333333335
231,06/06/2013,20,131.9,0.0240625
232,09/22/2013,20,131.9,0.024166666666666666
233,09/22/2013,21,131.8,0.024270833333333332
234,04/29/2013,20,131.0,0.024375
235,09/16/2013,20,130.9,0.024479166666666666
236,04/30/2013,21,130.8,0.024583333333333332
237,04/29/2013,21,130.7,0.0246875
238,09/11/2013,20,130.3,0.024791666666666667
239,09/13/2013,20,130.3,0.024895833333333332
240,09/17/2013,20,130.3,0.025
241,09/06/2013,20,130.2,0.025104166666666667
242,09/21/2013,20,130.2,0.025208333333333333
243,09/03/2013,20,130.10000000000002,0.0253125
244,05/13/2013,21,130.1,0.025416666666666667
245,09/19/2013,20,130.1,0.025520833333333333
246,05/07/2013,21,129.9,0.025625
247,09/21/2013,21,129.89999999999998,0.025729166666666668
248,05/14/2013,21,129.8,0.025833333333333333
249,09/10/2013,20,129.8,0.0259375
250,09/15/2013,20,129.8,0.026041666666666668
251,09/20/2013,20,129.8,0.026145833333333333
252,05/26/2013,21,129.7,0.02625
253,08/14/2013,21,129.7,0.026354166666666668
254,09/04/2013,20,129.7,0.026458333333333334
255,04/14/2013,20,129.60000000000002,0.0265625
256,05/05/2013,21,129.60000000000002,0.02666666666666667
257,05/08/2013,21,129.5,0.026770833333333334
258,08/23/2013,21,129.5,0.026875
259,08/28/2013,20,129.5,0.026979166666666665
260,10/16/2013,19,129.5,0.027083333333333334
261,05/22/2013,21,129.4,0.0271875
262,08/23/2013,20,129.4,0.027291666666666665
263,09/08/2013,20,129.4,0.027395833333333335
264,07/30/2013,20,129.3,0.0275
265,09/05/2013,20,129.3,0.027604166666666666
266,09/07/2013,20,129.3,0.027708333333333335
267,09/09/2013,20,129.3,0.0278125
268,10/09/2013,19,129.3,0.027916666666666666
269,08/20/2013,20,129.2,0.02802083333333333
270,08/26/2013,20,129.10000000000002,0.028125
271,08/07/2013,21,129.1,0.028229166666666666
272,08/08/2013,20,129.1,0.028333333333333332
273,08/15/2013,21,129.1,0.0284375
274,08/27/2013,20,129.1,0.028541666666666667
275,10/19/2013,19,129.1,0.028645833333333332
276,08/29/2013,20,129.0,0.02875
277,05/20/2013,21,128.9,0.028854166666666667
278,07/25/2013,20,128.9,0.028958333333333332
279,09/08/2013,21,128.89999999999998,0.0290625
280,05/29/2013,21,128.8,0.029166666666666667
281,06/05/2013,21,128.8,0.029270833333333333
282,08/08/2013,21,128.8,0.029375
283,05/09/2013,21,128.7,0.029479166666666667
284,09/02/2013,20,128.7,0.029583333333333333
285,10/20/2013,19,128.7,0.0296875
286,05/21/2013,21,128.60000000000002,0.029791666666666668
287,06/09/2013,21,128.60000000000002,0.029895833333333333
288,09/10/2013,21,128.6,0.03
289,04/14/2013,21,128.5,0.030104166666666668
290,05/19/2013,21,128.5,0.030208333333333334
291,05/28/2013,21,128.5,0.0303125
292,07/23/2013,20,128.5,0.030416666666666668
293,06/19/2013,21,128.4,0.030520833333333334
294,07/15/2013,20,128.4,0.030625
295,07/16/2013,20,128.39999999999998,0.030729166666666665
296,05/12/2013,21,128.3,0.030833333333333334
297,05/15/2013,21,128.3,0.0309375
298,06/24/2013,21,128.3,0.031041666666666665
299,07/18/2013,20,128.3,0.031145833333333334
300,10/21/2013,19,128.3,0.03125
301,05/17/2013,21,128.2,0.03135416666666667
302,08/27/2013,21,128.2,0.03145833333333333
303,08/15/2013,22,128.10000000000002,0.0315625
304,06/03/2013,21,128.1,0.03166666666666667
305,07/10/2013,21,128.1,0.03177083333333333
306,08/30/2013,21,128.1,0.031875
307,06/06/2013,21,128.0,0.03197916666666667
308,06/17/2013,21,128.0,0.03208333333333333
309,07/17/2013,22,128.0,0.0321875
310,05/27/2013,21,127.9,0.03229166666666667
311,06/04/2013,21,127.9,0.03239583333333333
312,10/07/2013,19,127.9,0.0325
