kWh,Date,Time,kWh,Datetime,HourOfDay,Month,Day,Year,FiscalYear,DayOfWeek,Percent
56.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
57.3,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
57.8,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
58.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
58.5,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
58.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
58.9,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
59.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
59.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
59.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
59.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
