Date_Time,use_kwh
2014-12-03 00:00:00-05:00,6227.299999999999
2014-12-04 00:00:00-05:00,6197.200000000003
2014-12-05 00:00:00-05:00,6079.5999999999985
2014-12-06 00:00:00-05:00,4877.9
2014-12-07 00:00:00-05:00,4763.500000000001
2014-12-08 00:00:00-05:00,6210.799999999999
2014-12-09 00:00:00-05:00,6301.000000000001
2014-12-10 00:00:00-05:00,6173.8
2014-12-11 00:00:00-05:00,6199.700000000001
2014-12-12 00:00:00-05:00,6159.199999999998
2014-12-13 00:00:00-05:00,4984.5999999999985
2014-12-14 00:00:00-05:00,4802.1
2014-12-15 00:00:00-05:00,6093.1
2014-12-16 00:00:00-05:00,6164.499999999997
2014-12-17 00:00:00-05:00,6323.9
2014-12-18 00:00:00-05:00,6365.8
2014-12-19 00:00:00-05:00,6191.799999999999
2014-12-20 00:00:00-05:00,4971.3
2014-12-21 00:00:00-05:00,4799.4
2014-12-22 00:00:00-05:00,6243.700000000001
2014-12-23 00:00:00-05:00,6131.400000000001
2014-12-24 00:00:00-05:00,4984.4000000000015
2014-12-25 00:00:00-05:00,4763.000000000001
2014-12-26 00:00:00-05:00,4851.2
2014-12-27 00:00:00-05:00,4865.0
2014-12-28 00:00:00-05:00,4756.1
2014-12-29 00:00:00-05:00,5975.200000000002
2014-12-30 00:00:00-05:00,6018.000000000001
2014-12-31 00:00:00-05:00,5681.400000000001
2015-01-01 00:00:00-05:00,4856.5
2015-01-02 00:00:00-05:00,5504.199999999999
2015-01-03 00:00:00-05:00,4952.200000000001
2015-01-04 00:00:00-05:00,4871.0
2015-01-05 00:00:00-05:00,6223.299999999999
2015-01-06 00:00:00-05:00,6192.5999999999985
2015-01-07 00:00:00-05:00,6328.700000000001
2015-01-08 00:00:00-05:00,6294.799999999997
2015-01-09 00:00:00-05:00,5968.200000000002
2015-01-10 00:00:00-05:00,4887.899999999999
2015-01-11 00:00:00-05:00,4783.100000000001
2015-01-12 00:00:00-05:00,5970.099999999999
2015-01-13 00:00:00-05:00,6165.9
2015-01-14 00:00:00-05:00,6164.0999999999985
2015-01-15 00:00:00-05:00,6160.400000000001
2015-01-16 00:00:00-05:00,5369.500000000001
2015-01-17 00:00:00-05:00,5008.500000000001
2015-01-18 00:00:00-05:00,4942.500000000001
2015-01-19 00:00:00-05:00,4999.999999999999
2015-01-20 00:00:00-05:00,6131.100000000002
2015-01-21 00:00:00-05:00,6190.700000000001
2015-01-22 00:00:00-05:00,6362.700000000003
2015-01-23 00:00:00-05:00,6355.799999999998
2015-01-24 00:00:00-05:00,5077.8
2015-01-25 00:00:00-05:00,4957.100000000001
2015-01-26 00:00:00-05:00,6113.500000000001
2015-01-27 00:00:00-05:00,6066.299999999999
2015-01-28 00:00:00-05:00,6196.900000000002
2015-01-29 00:00:00-05:00,6233.199999999997
2015-01-30 00:00:00-05:00,6100.3
2015-01-31 00:00:00-05:00,4900.7
2015-02-01 00:00:00-05:00,4785.4
2015-02-02 00:00:00-05:00,6249.100000000001
2015-02-03 00:00:00-05:00,6263.499999999999
2015-02-04 00:00:00-05:00,6124.200000000001
2015-02-05 00:00:00-05:00,6241.199999999999
2015-02-06 00:00:00-05:00,6138.200000000001
2015-02-07 00:00:00-05:00,4855.300000000002
2015-02-08 00:00:00-05:00,4765.700000000001
2015-02-09 00:00:00-05:00,6312.300000000001
2015-02-10 00:00:00-05:00,6421.700000000001
2015-02-11 00:00:00-05:00,6374.700000000001
2015-02-12 00:00:00-05:00,6259.900000000001
2015-02-13 00:00:00-05:00,6230.400000000002
2015-02-14 00:00:00-05:00,4936.1
2015-02-15 00:00:00-05:00,4855.399999999997
2015-02-16 00:00:00-05:00,4865.699999999999
2015-02-17 00:00:00-05:00,4874.200000000001
2015-02-18 00:00:00-05:00,6179.200000000001
2015-02-19 00:00:00-05:00,6310.799999999999
2015-02-20 00:00:00-05:00,6285.7
2015-02-21 00:00:00-05:00,4996.399999999998
2015-02-22 00:00:00-05:00,4944.000000000001
2015-02-23 00:00:00-05:00,6330.600000000001
2015-02-24 00:00:00-05:00,6386.899999999998
2015-02-25 00:00:00-05:00,6300.799999999998
2015-02-26 00:00:00-05:00,6263.399999999999
2015-02-27 00:00:00-05:00,6320.199999999999
2015-02-28 00:00:00-05:00,5061.1
2015-03-01 00:00:00-05:00,4967.5
2015-03-02 00:00:00-05:00,6431.799999999997
2015-03-03 00:00:00-05:00,6341.400000000001
2015-03-04 00:00:00-05:00,6282.099999999999
2015-03-05 00:00:00-05:00,4978.5
2015-03-06 00:00:00-05:00,5140.1
2015-03-07 00:00:00-05:00,4953.15
2015-03-08 00:00:00-05:00,4606.299999999999
2015-03-09 00:00:00-04:00,6293.400000000001
2015-03-10 00:00:00-04:00,6212.000000000002
2015-03-11 00:00:00-04:00,6351.0999999999985
2015-03-12 00:00:00-04:00,6496.399999999998
2015-03-13 00:00:00-04:00,6265.200000000002
2015-03-14 00:00:00-04:00,5005.899999999999
2015-03-15 00:00:00-04:00,4838.299999999999
2015-03-16 00:00:00-04:00,6265.4
2015-03-17 00:00:00-04:00,6484.700000000001
2015-03-18 00:00:00-04:00,6351.3
2015-03-19 00:00:00-04:00,6347.9000000000015
2015-03-20 00:00:00-04:00,6110.299999999999
2015-03-21 00:00:00-04:00,4907.700000000001
2015-03-22 00:00:00-04:00,4865.4
2015-03-23 00:00:00-04:00,6240.100000000004
2015-03-24 00:00:00-04:00,6172.5999999999985
2015-03-25 00:00:00-04:00,6197.700000000001
2015-03-26 00:00:00-04:00,6520.600000000001
2015-03-27 00:00:00-04:00,6534.400000000001
2015-03-28 00:00:00-04:00,5017.0
2015-03-29 00:00:00-04:00,4818.299999999998
2015-03-30 00:00:00-04:00,6175.499999999999
2015-03-31 00:00:00-04:00,6341.700000000001
2015-04-01 00:00:00-04:00,6401.499999999998
2015-04-02 00:00:00-04:00,6643.3
2015-04-03 00:00:00-04:00,7107.400000000002
2015-04-04 00:00:00-04:00,5104.800000000001
2015-04-05 00:00:00-04:00,4914.200000000001
2015-04-06 00:00:00-04:00,6386.9000000000015
2015-04-07 00:00:00-04:00,6627.799999999999
2015-04-08 00:00:00-04:00,6078.2
2015-04-09 00:00:00-04:00,6050.300000000001
2015-04-10 00:00:00-04:00,6036.8
2015-04-11 00:00:00-04:00,4746.300000000002
2015-04-12 00:00:00-04:00,4643.5
2015-04-13 00:00:00-04:00,6938.199999999999
2015-04-14 00:00:00-04:00,6447.100000000001
2015-04-15 00:00:00-04:00,5984.0
2015-04-16 00:00:00-04:00,6401.000000000001
2015-04-17 00:00:00-04:00,6975.0999999999985
2015-04-18 00:00:00-04:00,5538.8
2015-04-19 00:00:00-04:00,4862.9
2015-04-20 00:00:00-04:00,7382.0999999999985
2015-04-21 00:00:00-04:00,6465.499999999999
2015-04-22 00:00:00-04:00,6272.1
2015-04-23 00:00:00-04:00,6106.400000000001
2015-04-24 00:00:00-04:00,6129.400000000003
2015-04-25 00:00:00-04:00,4980.5
2015-04-26 00:00:00-04:00,5018.4
2015-04-27 00:00:00-04:00,6368.300000000001
2015-04-28 00:00:00-04:00,6761.400000000002
2015-04-29 00:00:00-04:00,6697.2
2015-04-30 00:00:00-04:00,6618.999999999999
2015-05-01 00:00:00-04:00,6079.499999999999
2015-05-02 00:00:00-04:00,4969.750000000001
2015-05-03 00:00:00-04:00,4847.7
2015-05-04 00:00:00-04:00,7391.0
2015-05-05 00:00:00-04:00,7391.799999999999
2015-05-06 00:00:00-04:00,7542.100000000002
2015-05-07 00:00:00-04:00,7360.699999999999
2015-05-08 00:00:00-04:00,7454.0999999999985
2015-05-09 00:00:00-04:00,6322.6
2015-05-10 00:00:00-04:00,6235.899999999999
2015-05-11 00:00:00-04:00,7751.3
2015-05-12 00:00:00-04:00,7584.000000000001
2015-05-13 00:00:00-04:00,6821.200000000001
2015-05-14 00:00:00-04:00,6518.400000000001
2015-05-15 00:00:00-04:00,6896.299999999999
2015-05-16 00:00:00-04:00,6307.000000000001
2015-05-17 00:00:00-04:00,6285.299999999999
2015-05-18 00:00:00-04:00,8066.500000000001
2015-05-19 00:00:00-04:00,7950.9000000000015
2015-05-20 00:00:00-04:00,7087.800000000001
2015-05-21 00:00:00-04:00,6105.199999999998
2015-05-22 00:00:00-04:00,6335.199999999998
2015-05-23 00:00:00-04:00,5127.500000000001
2015-05-24 00:00:00-04:00,5717.999999999999
2015-05-25 00:00:00-04:00,6162.299999999998
2015-05-26 00:00:00-04:00,7668.699999999998
2015-05-27 00:00:00-04:00,8007.899999999999
2015-05-28 00:00:00-04:00,6413.9000000000015
2015-05-29 00:00:00-04:00,1009.7500000000001
2015-05-30 00:00:00-04:00,6852.3
2015-05-31 00:00:00-04:00,7461.599999999997
2015-06-01 00:00:00-04:00,8339.5
2015-06-02 00:00:00-04:00,7445.5
2015-06-03 00:00:00-04:00,6134.099999999998
2015-06-04 00:00:00-04:00,6423.800000000001
2015-06-05 00:00:00-04:00,7052.800000000003
2015-06-06 00:00:00-04:00,6248.400000000001
2015-06-07 00:00:00-04:00,5997.300000000001
2015-06-08 00:00:00-04:00,7346.900000000001
2015-06-09 00:00:00-04:00,7741.700000000001
2015-06-10 00:00:00-04:00,7757.700000000001
2015-06-11 00:00:00-04:00,8229.1
2015-06-12 00:00:00-04:00,8374.9
2015-06-13 00:00:00-04:00,6922.699999999999
2015-06-14 00:00:00-04:00,6702.199999999998
2015-06-15 00:00:00-04:00,8327.4
2015-06-16 00:00:00-04:00,8445.000000000002
2015-06-17 00:00:00-04:00,7978.399999999999
2015-06-18 00:00:00-04:00,8053.699999999999
2015-06-19 00:00:00-04:00,7864.9000000000015
2015-06-20 00:00:00-04:00,6786.0999999999985
2015-06-21 00:00:00-04:00,6720.700000000002
2015-06-22 00:00:00-04:00,8235.000000000004
2015-06-23 00:00:00-04:00,8603.6
2015-06-24 00:00:00-04:00,7893.1
2015-06-25 00:00:00-04:00,7952.9
2015-06-26 00:00:00-04:00,7686.600000000003
2015-06-27 00:00:00-04:00,6381.300000000001
2015-06-28 00:00:00-04:00,6057.500000000001
2015-06-29 00:00:00-04:00,7509.9
2015-06-30 00:00:00-04:00,8015.400000000001
2015-07-01 00:00:00-04:00,7975.999999999998
2015-07-02 00:00:00-04:00,7619.3
2015-07-03 00:00:00-04:00,6279.700000000001
2015-07-04 00:00:00-04:00,6338.500000000003
2015-07-05 00:00:00-04:00,6298.5999999999985
2015-07-06 00:00:00-04:00,8123.299999999998
2015-07-07 00:00:00-04:00,8374.0
2015-07-08 00:00:00-04:00,8412.500000000002
2015-07-09 00:00:00-04:00,8485.900000000001
2015-07-10 00:00:00-04:00,8084.100000000001
2015-07-11 00:00:00-04:00,6716.100000000003
2015-07-12 00:00:00-04:00,6412.0999999999985
2015-07-13 00:00:00-04:00,7984.300000000001
2015-07-14 00:00:00-04:00,8246.7
2015-07-15 00:00:00-04:00,8052.199999999999
2015-07-16 00:00:00-04:00,7807.600000000001
2015-07-17 00:00:00-04:00,7807.699999999999
2015-07-18 00:00:00-04:00,6802.899999999999
2015-07-19 00:00:00-04:00,7111.799999999999
2015-07-20 00:00:00-04:00,8442.000000000002
2015-07-21 00:00:00-04:00,8406.199999999999
2015-07-22 00:00:00-04:00,7782.299999999999
2015-07-23 00:00:00-04:00,7644.900000000003
2015-07-24 00:00:00-04:00,7484.000000000001
2015-07-25 00:00:00-04:00,6399.699999999998
2015-07-26 00:00:00-04:00,6392.7
2015-07-27 00:00:00-04:00,8214.9
2015-07-28 00:00:00-04:00,8350.6
2015-07-29 00:00:00-04:00,8555.999999999998
2015-07-30 00:00:00-04:00,8593.199999999999
2015-07-31 00:00:00-04:00,7774.699999999999
2015-08-01 00:00:00-04:00,6556.9000000000015
2015-08-02 00:00:00-04:00,6334.9
