,Date,Use_kWh,AvgTempF,AvgDewPF
91,2009-04-09,13367.0,51.6,26.9
92,2009-04-10,13507.0,57.4,38.5
93,2009-04-11,13041.0,55.7,46.7
94,2009-04-12,12753.0,47.6,22.9
95,2009-04-13,13141.0,46.4,20.0
96,2009-04-14,13099.0,47.1,43.0
97,2009-04-15,13203.0,46.5,43.8
98,2009-04-16,13373.0,49.7,35.4
99,2009-04-17,13392.0,56.3,34.0
100,2009-04-18,12851.0,61.7,37.3
101,2009-04-19,13058.0,61.0,44.4
102,2009-04-20,13637.0,53.5,47.5
103,2009-04-21,13566.0,57.5,49.4
104,2009-04-22,13388.0,51.6,42.3
105,2009-04-23,13181.0,54.0,32.7
106,2009-04-24,13511.0,57.6,40.5
107,2009-04-25,13551.0,68.1,54.1
108,2009-04-26,13878.0,75.8,56.2
109,2009-04-27,14278.0,74.8,54.4
110,2009-04-28,14207.0,75.9,51.0
111,2009-04-29,13897.0,63.1,51.0
112,2009-04-30,13755.0,55.0,46.1
113,2009-05-01,13917.0,65.7,57.8
114,2009-05-02,13350.0,66.4,56.9
115,2009-05-03,13203.0,59.4,56.2
116,2009-05-04,13534.0,55.4,52.7
117,2009-05-05,13450.0,55.2,49.9
118,2009-05-06,13505.0,58.5,54.2
119,2009-05-07,14072.0,64.9,61.4
120,2009-05-08,14042.0,65.0,58.9
121,2009-05-09,13987.0,73.0,62.1
122,2009-05-10,13430.0,69.3,44.0
123,2009-05-11,13566.0,59.7,41.8
124,2009-05-12,13216.0,57.1,45.0
125,2009-05-13,13298.0,60.5,44.1
126,2009-05-14,13983.0,65.5,55.1
127,2009-05-15,14215.0,69.8,64.3
128,2009-05-16,13569.0,70.6,64.8
129,2009-05-17,13121.0,63.4,53.1
130,2009-05-18,13347.0,56.7,31.0
131,2009-05-19,13501.0,57.4,36.8
132,2009-05-20,13651.0,61.6,44.5
133,2009-05-21,13827.0,65.4,46.7
134,2009-05-22,14163.0,69.7,58.4
135,2009-05-23,13982.0,74.1,62.2
136,2009-05-24,14015.0,73.5,64.8
137,2009-05-25,14013.0,73.4,66.6
138,2009-05-26,13956.0,65.5,61.9
139,2009-05-27,13901.0,62.9,58.1
140,2009-05-28,14250.0,70.9,64.3
141,2009-05-29,14550.0,72.2,66.8
142,2009-05-30,13605.0,69.7,54.7
143,2009-05-31,13572.0,70.3,54.3
