Date,Use_kWh
2010-10-01,14036.0
2010-10-02,13113.0
2010-10-03,13147.0
2010-10-04,12784.0
2010-10-05,12682.4
2010-10-06,12625.5
2010-10-07,13294.4
2010-10-08,13375.2
2010-10-09,13100.8
2010-10-10,13150.8
2010-10-11,13725.6
2010-10-12,14470.4
2010-10-13,13456.9
2010-10-14,13742.2
2010-10-15,13230.6
2010-10-16,12920.8
2010-10-17,12982.7
2010-10-18,13435.0
2010-10-19,12972.6
2010-10-20,12309.6
2010-10-21,12388.3
2010-10-22,11966.4
2010-10-23,11905.8
2010-10-24,11112.6
2010-10-25,13143.2
2010-10-26,14290.2
2010-10-27,14791.7
2010-10-28,14051.8
2010-10-29,12648.5
2010-10-30,12066.4
2010-10-31,12075.2
2010-11-01,12172.1
2010-11-02,12063.2
2010-11-03,12010.4
2010-11-04,12432.8
2010-11-05,12265.7
2010-11-06,11730.5
2010-11-07,12076.7
2010-11-08,12269.9
2010-11-09,12622.4
2010-11-10,12644.7
2010-11-11,12585.8
2010-11-12,11584.2
2010-11-13,10573.3
2010-11-14,10509.9
2010-11-15,12112.2
2010-11-16,13224.0
2010-11-17,12929.5
2010-11-18,12680.5
2010-11-19,12281.6
2010-11-20,11969.1
2010-11-21,11680.0
2010-11-22,12408.1
2010-11-23,12800.1
2010-11-24,12066.2
2010-11-25,11778.7
2010-11-26,11871.0
2010-11-27,11251.0
2010-11-28,11528.3
2010-11-29,10984.1
2010-11-30,12353.9
2010-12-01,12537.2
2010-12-02,12322.2
2010-12-03,12030.5
2010-12-04,10782.7
2010-12-05,10600.4
2010-12-06,11217.4
2010-12-07,11678.5
2010-12-08,12208.6
2010-12-09,12320.4
2010-12-10,12248.9
2010-12-11,11460.3
2010-12-12,11487.7
2010-12-13,11703.9
2010-12-14,11755.5
2010-12-15,11793.8
2010-12-16,11751.3
2010-12-17,11398.3
2010-12-18,11039.1
2010-12-19,10972.9
2010-12-20,11439.0
2010-12-21,11643.7
2010-12-22,11602.3
2010-12-23,11275.5
2010-12-24,11197.5
2010-12-25,11168.3
2010-12-26,11232.7
2010-12-27,11475.6
2010-12-28,11580.3
2010-12-29,11646.9
2010-12-30,11562.9
2010-12-31,11250.7
2011-01-01,11161.8
2011-01-02,10783.3
2011-01-03,11148.9
2011-01-04,11603.0
2011-01-05,11191.0
2011-01-06,11093.2
2011-01-07,11114.2
2011-01-08,10226.6
2011-01-09,10294.6
2011-01-10,10874.5
2011-01-11,11059.3
2011-01-12,10613.4
2011-01-13,10941.4
2011-01-14,12166.9
2011-01-15,11759.7
2011-01-16,11715.1
2011-01-17,11793.5
2011-01-18,12051.9
2011-01-19,12317.1
2011-01-20,12631.4
2011-01-21,11661.0
2011-01-22,10521.4
2011-01-23,10532.7
2011-01-24,11512.7
2011-01-25,11451.3
2011-01-26,10870.0
2011-01-27,10816.5
2011-01-28,11401.8
2011-01-29,10840.2
2011-01-30,10563.1
2011-01-31,11087.3
2011-02-01,11599.4
2011-02-02,11936.0
2011-02-03,11711.3
2011-02-04,11593.5
2011-02-05,10792.7
2011-02-06,10686.7
2011-02-07,11314.6
2011-02-08,11504.1
2011-02-09,11399.1
2011-02-10,11239.4
2011-02-11,11212.0
2011-02-12,10832.4
2011-02-13,10696.9
2011-02-14,11276.4
2011-02-15,11119.5
2011-02-16,11407.9
2011-02-17,12058.4
2011-02-18,12946.7
2011-02-19,12484.9
2011-02-20,12358.2
2011-02-21,12599.8
2011-02-22,12938.2
2011-02-23,12701.3
2011-02-24,12897.0
2011-02-25,12798.1
2011-02-26,12472.6
2011-02-27,12333.1
2011-02-28,12981.4
2011-03-01,12816.7
2011-03-02,12976.4
2011-03-03,12758.8
2011-03-04,12958.9
2011-03-05,12534.5
2011-03-06,12561.4
2011-03-07,12891.5
